"Date","Price","Open","High","Low","Change %"
"Nov 16, 2018","9.0057","9.0618","9.0725","8.9969","-0.64%"
"Nov 15, 2018","9.0639","9.0859","9.1160","9.0326","-0.23%"
"Nov 14, 2018","9.0852","9.0553","9.1268","9.0304","0.34%"
"Nov 13, 2018","9.0541","9.1487","9.1558","9.0458","-1.03%"
"Nov 12, 2018","9.1487","9.0795","9.1532","9.0770","0.72%"
"Nov 11, 2018","9.0834","9.0842","9.0940","9.0770","0.04%"
"Nov 09, 2018","9.0800","9.0189","9.0878","9.0160","0.67%"
"Nov 08, 2018","9.0197","9.0244","9.0360","8.9587","-0.06%"
"Nov 07, 2018","9.0254","9.0438","9.0677","8.9769","-0.20%"
"Nov 06, 2018","9.0434","9.0587","9.0794","9.0400","-0.16%"
"Nov 05, 2018","9.0579","9.0600","9.0988","9.0440","0.11%"
"Nov 04, 2018","9.0478","9.0651","9.0651","9.0458","-0.13%"
"Nov 02, 2018","9.0600","9.0420","9.0852","8.9925","0.19%"
"Nov 01, 2018","9.0430","9.1655","9.1724","9.0330","-1.35%"
"Oct 31, 2018","9.1671","9.1748","9.2029","9.1334","-0.09%"
"Oct 30, 2018","9.1754","9.1517","9.1858","9.1318","0.26%"
"Oct 29, 2018","9.1512","9.1298","9.1613","9.0988","0.22%"
"Oct 28, 2018","9.1308","9.1555","9.1555","9.1251","-0.02%"
"Oct 26, 2018","9.1325","9.1122","9.1781","9.1072","0.21%"
"Oct 25, 2018","9.1130","9.1250","9.1459","9.0852","-0.13%"
"Oct 24, 2018","9.1252","9.0241","9.1274","9.0103","1.10%"
"Oct 23, 2018","9.0257","9.0025","9.0639","8.9931","0.27%"
"Oct 22, 2018","9.0011","8.9905","9.0079","8.9495","0.13%"
"Oct 21, 2018","8.9893","8.9901","8.9944","8.9861","0.00%"
"Oct 19, 2018","8.9892","9.0423","9.0552","8.9756","-0.59%"
"Oct 18, 2018","9.0423","8.9654","9.0524","8.9495","0.86%"
"Oct 17, 2018","8.9654","8.9042","8.9699","8.8888","0.68%"
"Oct 16, 2018","8.9050","8.9554","8.9641","8.8809","-0.54%"
"Oct 15, 2018","8.9532","8.9625","8.9997","8.9306","-0.19%"
"Oct 14, 2018","8.9703","8.9851","8.9851","8.9666","0.10%"
"Oct 12, 2018","8.9612","8.9721","8.9850","8.9374","-0.14%"
"Oct 11, 2018","8.9741","9.1437","9.1437","8.9643","-1.85%"
"Oct 10, 2018","9.1437","9.1036","9.1485","9.0772","0.42%"
"Oct 09, 2018","9.1051","9.0863","9.1466","9.0695","0.21%"
"Oct 08, 2018","9.0863","9.0673","9.1302","9.0588","0.18%"
